Student_ID,Mid_Sem_Marks,End_Sem_Marks,Internal_Marks
23103100,0.2,0.7818181818181819,0.2571428571428571
23103101,0.6333333333333333,0.6,0.6190476190476191
23103102,0.9333333333333333,0.16363636363636364,0.3904761904761905
23103103,0.4666666666666667,0.6363636363636364,0.41904761904761906
23103104,0.3333333333333333,0.23636363636363636,0.580952380952381
23103105,0.23333333333333334,0.5454545454545454,0.5333333333333333
23103106,0.9333333333333333,0.8545454545454545,0.047619047619047616
23103107,0.6666666666666666,0.2545454545454545,0.2571428571428571
23103108,0.2,0.12727272727272726,0.2571428571428571
23103109,0.8333333333333334,0.23636363636363636,0.4095238095238095
23103110,0.5666666666666667,0.4,0.7904761904761904
23103111,0.5666666666666667,0.7090909090909091,0.2761904761904762
23103112,0.5666666666666667,0.36363636363636365,0.580952380952381
23103113,0.5666666666666667,0.2727272727272727,0.7047619047619048
23103114,0.5666666666666667,0.8,0.8666666666666667
23103115,0.5666666666666667,0.3090909090909091,0.8380952380952381
23103116,0.1,0.8363636363636363,0.580952380952381
23103117,0.23333333333333334,0.41818181818181815,0.9142857142857143
23103118,0.7666666666666667,0.45454545454545453,0
23103119,0.06666666666666667,0.43636363636363634,0.24761904761904763
23103120,0.7,1,0.580952380952381
23103121,0.6666666666666666,0.7272727272727273,1
23103122,0.5666666666666667,0.509090909090909,0.01904761904761905
23103123,0.7666666666666667,0.4727272727272727,0.6571428571428571
23103124,0.36666666666666664,0.8,0.6761904761904762
23103125,0.9666666666666667,0,0.24761904761904763
23103126,0.16666666666666666,0.43636363636363634,0.0761904761904762
23103127,0.03333333333333333,0.10909090909090909,0.580952380952381
23103128,0.9,0.14545454545454545,0.34285714285714286
23103129,0.6666666666666666,0.41818181818181815,0.9142857142857143
23103130,0,0,0.47619047619047616
23103131,0.36666666666666664,0.7818181818181819,0.4095238095238095
23103132,0.8333333333333334,0.12727272727272726,0.21904761904761905
23103133,0.7,0.41818181818181815,0.7428571428571429
23103134,0.9333333333333333,0.18181818181818182,0.5523809523809524
23103135,0.36666666666666664,0.9090909090909091,0.29523809523809524
23103136,0.8,0.2909090909090909,0.9047619047619048
23103137,0.5333333333333333,0.12727272727272726,0.8285714285714286
23103138,0.8666666666666667,0.6181818181818182,0.4857142857142857
23103139,0.8666666666666667,0.6181818181818182,0.580952380952381
23103140,1,0.5818181818181818,0.5428571428571428
23103141,0.3,0.07272727272727272,0.4857142857142857
23103142,0.9,0.7454545454545455,0.10476190476190476
23103143,0.9,0.6909090909090909,0.3619047619047619
23103144,0.5,0.7272727272727273,0.009523809523809525
